web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,adresse,type_habits,image_lien-src
"1740023499-27","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5165863","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023503-28","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border16jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-orthopediques-en-cuir-5166529","Prix sur demande","Guediawaye, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5041047_uploaded_image1_1731457949.jpg"
"1740023506-29","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border16jours","https://sn.coinafrique.com/annonce/chaussures-homme/sneakers-new-balance-9060-5168368","40 000 CFA","Grand Dakar, Dakar, Sénégal","Chaussures Homme",""
"1740023510-30","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border15jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5169941","15 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023513-31","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border14jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-fermees-5171780","10 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5186396_uploaded_image1_1739571589.jpg"
"1740023517-32","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border14jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5171845","20 000 CFA","Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5164401_uploaded_image1_1738425286.jpg"
"1740023520-33","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border14jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5171888","25 000 CFA","Grand Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5171888_uploaded_image1_1738782369.jpg"
"1740023524-34","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border14jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5171892","22 000 CFA","Grand Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5171888_uploaded_image1_1738782369.jpg"
"1740023527-35","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border14jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-berluti-5171902","22 000 CFA","Grand Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5171902_uploaded_image1_1738782763.jpg"
"1740023531-36","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border14jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-berluti-5171903","22 000 CFA","Grand Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5171902_uploaded_image1_1738782763.jpg"
